,address,driving_time,public_trans_time,public_trans_option
3118,Prof. Yuval Neeman St. Tel Aviv-Yafo,typically 14 - 35 min,24 min,71
3119,Moshe Barazani St. Tel Aviv-Yafo,typically 18 - 40 min,29 min,171
3120,Pines St. Tel Aviv-Yafo,typically 10 - 28 min,21 min,23
3121,Bnei Binyamin St. Netanya,typically 40 min - 1 hr 15 min,48 min,600
3122,"Ha-Rina St.  7,Netanya",typically 40 min - 1 hr 15 min,56 min,32א    בנימינה-בנימינה גבעת עדה<->לוד-לוד
3123,Ehud Manor St. Netanya,typically 35 min - 1 hr 10 min,48 min,600
3124,"Rabbi Shimon ben Shetach St.  21,Elad",typically 40 min - 1 hr 20 min,1 hr 2 min,180    364
3125,"Bialik St.  40,Ashkelon",typically 1 hr - 2 hr 10 min,1 hr 31 min,13    אשקלון-אשקלון<->הרצליה-הרצליה
3126,"Ha-Lamed Hei St.  61,Givatayim",typically 7 - 18 min,16 min,60
3127,Bar Yehuda St. Bat Yam,typically 24 min - 1 hr,34 min,15    אשקלון-אשקלון<->הרצליה-הרצליה
3128,"Tsafrir St.  7,Or Yehuda",typically 26 - 50 min,39 min,59
3129,"HaTsanhanim  1,Nahariya",NA,NA,NA
3130,Rishon LeTsiyon St. Netanya,typically 40 min - 1 hr 20 min,55 min,32א    בנימינה-בנימינה גבעת עדה<->לוד-לוד
3131,"HaAmadot St.  6,Bat Yam",typically 22 - 50 min,28 min,15    אשקלון-אשקלון<->הרצליה-הרצליה
3132,"Arie (Luba) Eliav St.  18,Haifa",typically 1 hr 30 min - 2 hr 50 min,1 hr 50 min,18    כרמיאל-כרמיאל<->באר שבע מרכז-באר שבע
3133,"Nissim Aloni St.  3,Tel Aviv-Yafo",typically 7 - 20 min,13 min,בנימינה-בנימינה גבעת עדה<->לוד-לוד
3134,"Sderot Hen  14,Rehovot",typically 40 min - 1 hr 20 min,57 min,49    רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
3135,Adar St. Ashdod,typically 45 min - 1 hr 40 min,1 hr 2 min,11    280
3136,"Rothschild St.  34,Ness Ziona",typically 40 min - 1 hr 10 min,1 hr 1 min,4    רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
3137,"Ha-Migdal St.  16,Givatayim",typically 7 - 20 min,15 min,364
3138,Ha-Vradim St. Netanya,typically 35 min - 1 hr 10 min,41 min,600
3139,"Daniel St.  3,Ramat Gan",typically 12 - 30 min,26 min,364
3140,HaRav Zinger St. Rishon LeTsiyon,typically 28 min - 1 hr,45 min,193
3141,Amnon Lipkin played Netanya,typically 45 min - 1 hr 40 min,42 min,650
3142,Yerushalayim St. Acre,typically 1 hr 50 min - 3 hr 10 min,1 hr 49 min,נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות
3143,"Ha-Hagana St.  39,Acre",typically 1 hr 50 min - 3 hr 10 min,2 hr 3 min,3    נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות
3144,Shaul HaMelech St. Beer Sheva,typically 1 hr 25 min - 2 hr 20 min,1 hr 36 min,25        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
3145,"Shmaaya St.  14,Elad",typically 35 min - 1 hr 15 min,56 min,180    51
3146,Ha-Rav Nisanbaum St. Bat Yam,typically 20 - 55 min,46 min,83
3147,"Haim Nachman Bialik St.  151,Beer Sheva",typically 1 hr 25 min - 2 hr 20 min,1 hr 32 min,16        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
3148,Avigdor Hameiri St. Beer Sheva,typically 1 hr 30 min - 2 hr 30 min,1 hr 41 min,14        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
3149,Shaar ha-Gai St. Beer Sheva,typically 1 hr 30 min - 2 hr 20 min,1 hr 47 min,13        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
3150,Yosef Burg St. Beer Sheva,typically 1 hr 30 min - 2 hr 30 min,1 hr 45 min,14        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
3151,Shaul HaMelech St. Beer Sheva,typically 1 hr 25 min - 2 hr 20 min,1 hr 36 min,25        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
3152,Rahvat Mivtsa Erez Beersheba,typically 1 hr 25 min - 2 hr 10 min,1 hr 34 min,25        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
3153,Rahvat Ahazya Beersheba,typically 1 hr 25 min - 2 hr 20 min,1 hr 38 min,25        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
3154,Derech HaShalom Beersheba,typically 1 hr 25 min - 2 hr 20 min,1 hr 25 min,באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
3155,Moshe Sharet St. Ramla,typically 35 min - 1 hr 15 min,57 min,247        רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
3156,HaRav Yitshak Nisim St. Bat Yam,typically 20 - 55 min,31 min,240
3157,Balfour St. Bat Yam,typically 22 - 55 min,1 hr 9 min,705
3158,Shoshana Damari St. Ramla,typically 35 min - 1 hr 15 min,1 hr 3 min,249    רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
3159,Hadar St. Holon,typically 20 - 40 min,39 min,172    64
3160,Derech Ben Gurion Bat Yam,typically 24 min - 1 hr,1 hr 15 min,705
3161,"Derech Ben Gurion  138,Bat Yam",typically 24 min - 1 hr 5 min,42 min,6    אשקלון-אשקלון<->הרצליה-הרצליה
3162,Harduf St. Ramla,typically 35 min - 1 hr 15 min,31 min,בית שמש-בית שמש<->נתניה-נתניה
3163,Yitshak Ben Zvi St. Ramla,typically 35 min - 1 hr 20 min,54 min,8    249    רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
3164,"Ruhama St.  15,Tel Aviv-Yafo",typically 14 - 35 min,26 min,40
3165,Derech Ben Gurion Bat Yam,typically 24 min - 1 hr,1 hr 15 min,705
3166,Herzl St. Nahariyya,typically 2 hr - 3 hr 20 min,NA,NA
3167,Nili St. Gan Yavne,typically 45 min - 1 hr 30 min,1 hr 9 min,340    177
3168,"Ha-Rina St.  7,Netanya",typically 40 min - 1 hr 15 min,54 min,600
3169,"Zalman Shazar St.  3,Netanya",typically 35 min - 1 hr 5 min,NA,NA
3170,"Struma St.  8,Netanya",typically 45 min - 1 hr 40 min,42 min,650
3171,"Ein Gev St.  3,Tel Aviv-Yafo",typically 8 - 18 min,26 min 2.1 km,710
3172,Betsalel St. Beer Sheva,typically 1 hr 25 min - 2 hr 20 min,NA,NA
3173,"Arye Kremer St.  6,Ramla",typically 35 min - 1 hr 15 min,NA,NA
3174,"Yehoshua Hankin St.  58,Holon",typically 18 - 40 min,NA,NA
3175,"Baal HaAkeda St.  8,Tel Aviv-Yafo",typically 9 - 24 min,42 min 3.3 km,708    710
3176,"Arieh Ben Eliezer St.  53,Ramat Gan",typically 14 - 40 min,53 min 4.3 km,710
3177,Yaakov Fichman St. Beer Sheva,typically 1 hr 30 min - 2 hr 30 min,1 hr 53 min,5    באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
3178,"HaAtsmaut St.  21,Rosh Haayin",typically 40 min - 1 hr 20 min,50 min,73    הרצליה-הרצליה<->אשדוד עד הלום-אשדוד
3179,Zeev Jabotinsky St. Ramat Gan,typically 20 - 50 min,21 min,51
3180,Elyashiv St. Ramat Gan,typically 10 - 35 min,29 min,67    200
3181,"Herzl St.  82,Ramat Gan",typically 9 - 28 min,19 min,67    200
3182,Shlomo Skulski St. Beer Sheva,typically 1 hr 30 min - 2 hr 30 min,1 hr 45 min,14        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
3183,"Chaim Herzog St.  29,Rosh Haayin",typically 35 min - 1 hr 20 min,58 min,73    הרצליה-הרצליה<->אשדוד עד הלום-אשדוד
3184,"Giborei Yisrael St.  2,Ramla",typically 35 min - 1 hr 15 min,1 hr 2 min,247        רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
3185,"Yad Vashem St.  4,Beer Sheva",typically 1 hr 25 min - 2 hr 20 min,1 hr 31 min,2        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
3186,Khayim Grinfeld St. Beer Sheva,typically 1 hr 20 min - 2 hr 10 min,1 hr 39 min,23        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
3187,"Shlomo Skulski St.  3,Beer Sheva",typically 1 hr 30 min - 2 hr 20 min,NA,NA
3188,Bialik St. Bat Yam,typically 22 - 55 min,1 hr 13 min,705
3189,"Ha-Rishonim St.  22,Ramat Gan",typically 6 - 18 min,21 min 1.7 km,705
3190,Ha-Ziporen St. Jerusalem,typically 1 hr 5 min - 1 hr 40 min,NA,NA
3191,"onyx  2,Be'er Ya'akov",NA,NA,NA
3192,"Moriya St.  6,Ariel",typically 55 min - 1 hr 40 min,NA,NA
3193,"HaYasmin St.  74,Kiryat Gat",typically 1 hr 5 min - 1 hr 40 min,NA,NA
3194,Yehoshua Rabinovich St. Holon,typically 22 min - 1 hr,NA,NA
3195,Yitshak Sadeh St. Bat Yam,typically 24 min - 1 hr,NA,NA
3196,Sa Nes St. Beer Yaakov,typically 35 min - 1 hr 15 min,43 min,רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
3197,Rekhavam Zeevi St. Ness Ziona,typically 35 min - 1 hr 20 min,56 min,4    רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
3198,Givati St. Ness Ziona,typically 35 min - 1 hr 20 min,40 min,277
3199,Kibuts Galuyot St. Ness Ziona,typically 35 min - 1 hr 15 min,44 min,277
3200,Ehud Manor St. Beer Yaakov,typically 35 min - 1 hr 10 min,52 min,28        458
3201,Ha-Meyasdim St. Netanya,typically 45 min - 1 hr 25 min,43 min,650
3202,"Ze'ev Jabotinsky St.  7,Ramat Gan",typically 6 - 18 min,8 min,200
3203,HaShla St. Tel Aviv-Yafo,typically 12 - 35 min,18 min,56
3204,Berl Katzenelson St. Bat Yam,typically 18 - 50 min,24 min,240
3205,Sde Nahum St. Rishon LeTsiyon,typically 30 min - 1 hr 10 min,NA,NA
3206,Davidzon St. Rishon LeTsiyon,typically 28 min - 1 hr,45 min,193
3207,Kheil ha-Yam St. Rishon LeTsiyon,typically 26 min - 1 hr 5 min,41 min,15    אשקלון-אשקלון<->הרצליה-הרצליה
3208,HaYarkon St. Tel Aviv-Yafo,typically 12 - 35 min,37 min 2.9 km,705
3209,Pinkas St. Tel Aviv-Yafo,typically 8 - 22 min,38 min 2.7 km,706
3210,"Mivtsa Litani St.  9,Rehovot",typically 40 min - 1 hr 30 min,1 hr 3 min,277
3211,"HaRav Mordechai Eliahu St.  115,Lod",typically 30 min - 1 hr,42 min,6    רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
3212,Dov Gruner St. Bnei Brak,typically 12 - 40 min,21 min,51
3213,Wolfson St. Nahariyya,typically 2 hr - 3 hr 20 min,1 hr 57 min,נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות
3214,"Albert Einstein St.  30,Lod",typically 35 min - 1 hr 10 min,32 min,רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
3215,"Yefe Nof St.  26,Ashkelon",typically 1 - 2 hr,1 hr 35 min,18    אשקלון-אשקלון<->הרצליה-הרצליה
3216,Ha-Lamed Hei St. Ra'anana,typically 28 min - 1 hr,NA,NA
3217,"Yaravam ha-Melekh St.  9,Ashdod",NA,NA,NA
3218,Ha-Arava St. Migdal HaEmek,typically 1 hr 30 min - 3 hr 50 min,NA,NA
3219,"Yitshak Steinberg St.  5,Rehovot",typically 40 min - 1 hr 30 min,NA,NA
3220,"Kadesh St.  49,Migdal HaEmek",typically 1 hr 30 min - 3 hr 50 min,NA,NA
3221,"Nahal Hatsvi St.  24,Migdal HaEmek",typically 1 hr 30 min - 3 hr 50 min,NA,NA
3222,Givati St. Rishon LeTsiyon,typically 30 min - 1 hr,NA,NA
3223,Abba Ahimeir St. Ramla,typically 35 min - 1 hr 5 min,NA,NA
3224,"Moshe Sharet St.  9,Bat Yam",typically 20 - 50 min,1 hr 23 min,705
3225,HaShiloah St. Netanya,typically 45 min - 1 hr 40 min,42 min,650
3226,Khabad St. Rishon LeTsiyon,typically 28 min - 1 hr,NA,NA
3227,"Sderot Golda Meir  31,Netanya",typically 45 min - 1 hr 40 min,42 min,650
3228,Archi Sherman St. Netanya,typically 45 min - 1 hr 40 min,42 min,650
3229,Ben Gurion St. Raanana,typically 30 min - 1 hr,54 min,504    567
3230,"Almog St.  16,Ramla",typically 35 min - 1 hr 10 min,46 min,15    רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
3231,"HaCarmel St.  1,Ramla",typically 35 min - 1 hr 20 min,1 hr,8    458
3232,Nurit St. Holon,typically 24 - 55 min,NA,NA
3233,Akhad ha-Am St. Raanana,typically 30 min - 1 hr,NA,NA
3234,Herzl St. Nahariyya,typically 2 hr - 3 hr 20 min,NA,NA
3235,Ha-Tsiyonut St. Ashdod,typically 45 min - 1 hr 40 min,NA,NA
3236,"Efrim Kishon St.  3,Rishon LeTsiyon",typically 30 min - 1 hr 15 min,NA,NA
3237,Hahistadrut St. Petah Tikva,typically 26 min - 1 hr 10 min,NA,NA
3238,HaPalmach St. Petah Tikva,typically 26 min - 1 hr 15 min,NA,NA
3239,"Yitshak Steinberg St.  8,Rehovot",typically 40 min - 1 hr 30 min,NA,NA
3240,Ha-Sar Shapira St. Bat Yam,typically 24 min - 1 hr,NA,NA
3241,Balfour St. Bat Yam,typically 22 - 55 min,1 hr 9 min,705
3242,"Ha-Tsiyonut St.  105,Ashdod",typically 45 min - 1 hr 40 min,NA,NA
3243,Yosef ha-Levi St. Rishon LeTsiyon,typically 28 - 55 min,NA,NA
3244,Rabbi Halafta St. Jerusalem,typically 1 hr 5 min - 1 hr 40 min,NA,NA
3245,Helets St. Jerusalem,typically 1 hr 5 min - 1 hr 50 min,NA,NA
3246,"Ha-Rav Shalom Shabazi St.  155,Rosh Haayin",typically 35 min - 1 hr 15 min,NA,NA
3247,Anne Frank St. Bat Yam,typically 22 - 55 min,NA,NA
3248,"Tel-Chay Boulevard  50,Ashdod",typically 50 min - 1 hr 40 min,NA,NA
3249,Derech Ben Gurion Bat Yam,typically 24 min - 1 hr,1 hr 15 min,705
3250,"Tzvi Tadmor  8,Holon",typically 22 - 50 min,32 min,71
3251,"Eliezer Ben Yehuda St.  31,Rehovot",typically 35 min - 1 hr 30 min,48 min,רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
3252,"Rambam St.  67,Rehovot",typically 45 min - 1 hr 25 min,57 min,277
3253,"Eli Cohen St.  12,Bat Yam",typically 20 - 55 min,26 min,240
3254,"Doctor Shmorek St.  22,Netanya",typically 35 min - 1 hr 15 min,47 min,605
3255,"Ha-Rav Refael Anakuwa St.  16,Netanya",typically 35 min - 1 hr 10 min,43 min,605
3256,"Ramat HaGolan St.  10,Ari'el",typically 55 min - 1 hr 40 min,1 hr 7 min,1    586
3257,"Tamar St.  8,Harish",typically 1 hr 15 min - 3 hr,1 hr 26 min,63    825
3258,Pierre Koenig St. Netanya,typically 40 min - 1 hr 15 min,53 min,600
3259,Rokach St. Ramat Gan,typically 12 - 30 min,24 min,75
3260,Grinboim St. Rishon LeTsiyon,typically 30 min - 1 hr,48 min,190
3261,Keren Kayemet le-Yisrael St. Rehovot,typically 40 min - 1 hr 30 min,48 min,רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
3262,Uzi Hitman St. Netanya,typically 35 min - 1 hr 10 min,51 min,600
3263,Ahi Mezanek St. Rishon LeTsiyon,typically 24 min - 1 hr 5 min,42 min,15    אשקלון-אשקלון<->הרצליה-הרצליה
3264,Sapir St. Harish,typically 1 hr 15 min - 3 hr,1 hr 31 min,63    825
3265,Shmuel Yosef Agnon St. Bat Yam,typically 24 min - 1 hr 5 min,45 min,1
3266,"Gilad St.  20,Beer Sheva",typically 1 hr 25 min - 2 hr 10 min,1 hr 22 min,באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
3267,Shmuel Shrira St. Rishon LeTsiyon,typically 30 min - 1 hr,52 min,193
3268,"Yaakov Fichman St.  4,Beer Sheva",typically 1 hr 30 min - 2 hr 30 min,1 hr 52 min,5    באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
3269,"Avraham Mapu St.  2,Beer Sheva",typically 1 hr 30 min - 2 hr 30 min,1 hr 54 min,5    באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
3270,"Eliezer Smoli St.  9,Beer Sheva",typically 1 hr 30 min - 2 hr 20 min,1 hr 44 min,14        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
3271,Kalischer St. Beer Sheva,typically 1 hr 25 min - 2 hr 20 min,1 hr 31 min,5    באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
3272,Yokhanan ha-Sandlar St. Rishon LeTsiyon,typically 30 min - 1 hr,46 min,5        193
3273,"Uzi Narkis St.  23,Beer Sheva",typically 1 hr 20 min - 2 hr 10 min,1 hr 48 min,23        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
3274,Shaar ha-Gai St. Karmiel,typically 2 hr - 3 hr 20 min,2 hr 10 min,242    836
3275,Yehuda Halevi St. Beer Sheva,typically 1 hr 25 min - 2 hr 10 min,1 hr 29 min,11        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
3276,"Israel Shochat St.  51,Be'er Sheva",typically 1 hr 30 min - 2 hr 30 min,1 hr 48 min,14        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
3277,"Israel Shochat St.  29,Be'er Sheva",typically 1 hr 30 min - 2 hr 30 min,1 hr 48 min,14        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
3278,Elyashiv St. Ramat Gan,typically 10 - 35 min,29 min,67    200
3279,Bruriah Bat Teradyon St. Petah Tikva,typically 28 min - 1 hr 10 min,33 min,51
3280,"HaShikma St.  45,Bat Yam",typically 24 min - 1 hr,43 min,1
3281,"Sheshet Ha-Yamim St.  7,Ariel",typically 55 min - 1 hr 40 min,1 hr 1 min,586
3282,"Derech Don Yitshak Abarbanel  9,Netanya",typically 40 min - 1 hr 25 min,46 min,827
3283,"Feinstein St.  4,Lod",typically 35 min - 1 hr 5 min,38 min,22    רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
3284,Sheshet ha-Yamim St. Bat Yam,typically 22 - 55 min,30 min,240
3285,Uziya HaMelech St. Beer Sheva,typically 1 hr 20 min - 2 hr 10 min,1 hr 25 min,25        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
3286,Iyar St. Netanya,typically 40 min - 1 hr 15 min,50 min,606
3287,"Derech Tat Aluf Uri Baron  15,Ariel",typically 55 min - 1 hr 40 min,56 min,586
3288,"John Kennedy St.  33,Rosh Haayin",typically 40 min - 1 hr 20 min,53 min,12    586
3289,"Mivtsa Dani St.  3,Rosh Haayin",typically 35 min - 1 hr 20 min,56 min,72    הרצליה-הרצליה<->אשדוד עד הלום-אשדוד
3290,Usha St. Tel Aviv-Yafo,typically 18 - 40 min,26 min,606
3291,Yoseftal St. Bat Yam,typically 22 - 55 min,44 min,46
3292,"Ha-Neviim St.  11,Bat Yam",typically 22 - 55 min,40 min,85    אשקלון-אשקלון<->הרצליה-הרצליה
3293,Sheshet ha-Yamim St. Bat Yam,typically 22 - 55 min,30 min,240
3294,Herzl St. Bat Yam,typically 24 min - 1 hr,1 hr 3 min,705
3295,Jabotinsky St. Bat Yam,typically 22 min - 1 hr,42 min,1
3296,"Eli Cohen St.  18,Bat Yam",typically 20 - 50 min,26 min,240
3297,Tchernikhovski St. Bat Yam,typically 22 - 55 min,39 min,1
3298,"Derech Tat Aluf Uri Baron  20,Ariel",typically 50 min - 1 hr 40 min,54 min,586
3299,"Hairis  52,Nofim",typically 55 min - 1 hr 40 min,1 hr 27 min,437    286
3300,"emerald  11,Eli",NA,NA,NA
3301,"Mehola  161,Mehola",NA,NA,NA
3302,"taken down  32,Eli",NA,NA,NA
3303,"sapphire  5,Eli",NA,NA,NA
3304,"Ha-Negev St.  10,Ariel",typically 55 min - 1 hr 40 min,58 min,586
3305,Shivtei Israel St. Tel Aviv-Yafo,typically 18 - 45 min,34 min,46
3306,"Henri Kendel St.  10,Beer Sheva",typically 1 hr 30 min - 2 hr 20 min,1 hr 37 min,27א        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
3307,Olei HaGardom St. Rishon LeTsiyon,typically 35 min - 1 hr 5 min,45 min,190
3308,"Ha-Maronitim St.  11,Acre",typically 1 hr 50 min - 3 hr 10 min,2 hr 3 min,3    נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות
3309,El Jazzar St. Acre,typically 1 hr 50 min - 3 hr 10 min,1 hr 58 min,3    נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות
3310,"Lokhamei ha-Getaot St.  27,Acre",typically 1 hr 50 min - 3 hr 10 min,1 hr 54 min,נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות
3311,"Salah ad Din St.  27,Acre",typically 1 hr 50 min - 3 hr 10 min,1 hr 58 min,3    נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות
3312,"Ha-Hagana St.  11,Acre",typically 1 hr 50 min - 3 hr 10 min,2 hr,3    נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות
3313,Louis HaTshii St. Acre,typically 1 hr 50 min - 3 hr 10 min,2 hr 1 min,3    נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות
3314,El Jazzar St. Acre,typically 1 hr 50 min - 3 hr 10 min,1 hr 58 min,3    נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות
3315,"Ha-Hagana St.  11,Acre",typically 1 hr 50 min - 3 hr 10 min,2 hr,3    נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות
3316,"Ha-Hagana St.  2,Acre",typically 1 hr 50 min - 3 hr 10 min,1 hr 59 min,3    נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות
3317,Ha-Hagana St. Acre,typically 1 hr 50 min - 3 hr 10 min,1 hr 59 min,3    נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות
3318,"Mordekhai Anielewicz St.  49,Acre",typically 1 hr 50 min - 3 hr 10 min,1 hr 51 min,נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות
3319,Keren ha-Yesod St. Rishon LeTsiyon,typically 28 - 55 min,40 min,193
3320,"HaBaron Hirsch St.  1,Rishon LeTsiyon",typically 30 - 55 min,44 min,193
3321,San Martin St. Lod,typically 30 min - 1 hr,40 min,460
3322,Khalelei Egoz St. Lod,typically 35 min - 1 hr 5 min,28 min,רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
3323,Sderot Shlomo HaMelech Lod,typically 35 min - 1 hr 5 min,36 min,461    רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
3324,Disraeli St. Lod,typically 35 min - 1 hr 5 min,37 min,רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
3325,Dror St. Rishon LeTsiyon,typically 26 - 55 min,42 min,193
3326,"Shoshana Damari St.  16,Ra`anana",typically 35 min - 1 hr 10 min,55 min,213        בנימינה-בנימינה גבעת עדה<->לוד-לוד
3327,Bialik St. Rishon LeTsiyon,typically 30 min - 1 hr,38 min,222
3328,HaMeyasedim St. Raanana,typically 30 min - 1 hr,46 min,504        הרצליה-הרצליה<->אשדוד עד הלום-אשדוד
3329,HaMeyasedim St. Raanana,typically 30 min - 1 hr,46 min,504        הרצליה-הרצליה<->אשדוד עד הלום-אשדוד
3330,Ha-Gilgal St. Ramat Gan,typically 12 - 35 min,19 min,54
3331,"Ehud Manor St.  2,Beer Yaakov",typically 35 min - 1 hr 10 min,46 min,157    240
3332,Bakhur Shitrit St. Beer Sheva,typically 1 hr 25 min - 2 hr 20 min,1 hr 42 min,27א        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
3333,"Dani Mas St.  4,Ramla",typically 35 min - 1 hr 15 min,47 min,458
3334,Ha-Kalanit St. Raanana,typically 35 min - 1 hr 5 min,56 min,347    605
3335,"Elkharizi St.  16,Netanya",typically 40 min - 1 hr 15 min,58 min,605
3336,Efner St. Givatayim,typically 8 - 24 min,15 min,54
3337,Beit Hilel St. Ramat Gan,typically 16 - 45 min,19 min,54
3338,Zeev Jabotinsky St. Ramat Gan,typically 20 - 50 min,21 min,51
3339,Alumot St. Givatayim,typically 7 - 18 min,11 min,54
3340,Givati St. Rishon LeTsiyon,typically 30 min - 1 hr,NA,NA
3341,"HaAlonim Boulevard  18,Beer Yaakov",typically 30 min - 1 hr 15 min,45 min,רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
3342,Aya St. Karmiel,typically 2 hr - 3 hr 30 min,2 hr 21 min,242    836
3343,Givat HaTahmoshet St. Holon,typically 22 - 55 min,39 min,89
3344,Manya Shohat St. Rishon LeTsiyon,typically 30 min - 1 hr,45 min,190
3345,Kdoshei Kahir St. Bat Yam,typically 22 - 55 min,37 min,1
3346,Givati St. Rishon LeTsiyon,typically 30 min - 1 hr,NA,NA
3347,Kheil ha-Khimush St. Rishon LeTsiyon,typically 26 min - 1 hr 5 min,39 min,15        190
3348,Rambam St. Rishon LeTsiyon,typically 30 min - 1 hr 5 min,44 min,193
3349,"Eilat St.  23,Holon",typically 20 - 50 min,29 min,171
3350,Sapir St. Ramla,typically 35 min - 1 hr 15 min,51 min,450
3351,"Teitlbaum St.  12,Ramla",typically 40 min - 1 hr 25 min,48 min,450
3352,"Yosef Aharonovich St.  43,Holon",typically 22 - 50 min,36 min,71
3353,Dwight Eisenhower St. Netanya,typically 35 min - 1 hr 10 min,53 min,605
3354,"Eli Daivis St.  6,Beer Sheva",typically 1 hr 30 min - 2 hr 20 min,1 hr 36 min,27א        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
3355,"Khayim Grinfeld St.  17,Beer Sheva",typically 1 hr 20 min - 2 hr 10 min,1 hr 41 min,23        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
3356,"Simtat Yehonatan  20,Beersheba",typically 1 hr 25 min - 2 hr 20 min,1 hr 31 min,25        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
3357,"Gershon Shofman St.  15,Beer Sheva",typically 1 hr 30 min - 2 hr 30 min,1 hr 43 min,14        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
3358,Givat HaTahmoshet St. Holon,typically 22 - 55 min,39 min,89
3359,Beni Berman St. Netanya,typically 35 min - 1 hr 10 min,49 min,600
3360,Bnei Binyamin St. Netanya,typically 40 min - 1 hr 15 min,48 min,600
3361,"Kiryat Shmona St.  17,Holon",typically 22 - 55 min,41 min,89
3362,Kadesh St. Netanya,typically 45 min - 1 hr 30 min,49 min,16    נתניה-נתניה<->בית שמש-בית שמש
3363,Doctor Meir Avner St. Netanya,typically 45 min - 1 hr 40 min,45 min,16    נתניה-נתניה<->בית שמש-בית שמש
3364,Doctor Meir Avner St. Netanya,typically 45 min - 1 hr 40 min,45 min,16    נתניה-נתניה<->בית שמש-בית שמש
3365,"Uzi Hitman St.  21,Netanya",typically 35 min - 1 hr 10 min,56 min,600
3366,Uzi Hitman St. Netanya,typically 35 min - 1 hr 10 min,51 min,600
3367,Yosef Burg St. Beer Sheva,typically 1 hr 30 min - 2 hr 30 min,1 hr 45 min,14        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
3368,"Mhari Kapah St.  7,Modiin Ilit",typically 40 min - 1 hr 15 min,1 hr 1 min,240    111
3369,Derech Ben Gurion Bat Yam,typically 24 min - 1 hr,1 hr 15 min,705
3370,"Har Metsada St.  5,Ashdod",typically 50 min - 1 hr 40 min,1 hr 4 min,33א    280
3371,HaBrigada HaYehudit St. Netanya,typically 40 min - 1 hr 15 min,50 min,600
